# R1,R2,R3,ETriat,E
2.500000,2.917793,2.000000,29.116783,8.211183
2.000000,5.052429,5.000000,9.528466,0.218574
5.000000,5.052429,2.000000,9.528466,0.218574
2.150000,2.862712,2.300000,30.865226,8.177097
2.300000,2.862712,2.150000,30.865226,8.177097
2.300000,4.253807,4.000000,11.187009,1.717939
4.000000,4.253807,2.300000,11.187009,1.717939
2.300000,6.041300,6.000000,9.408919,0.687507
6.000000,6.041300,2.300000,9.408919,0.687507
2.500000,3.932068,3.500000,13.462823,3.986160
3.500000,3.932068,2.500000,13.462823,3.986160
2.500000,9.877631,10.000000,9.446200,2.071350
10.000000,9.877631,2.500000,9.446200,2.071350
1.900000,2.951435,3.000000,24.236127,7.806811
3.000000,2.951435,1.900000,24.236127,7.806811
2.300000,9.463460,10.000000,9.350301,0.668229
10.000000,9.463460,2.300000,9.350301,0.668229
1.700000,9.553079,10.000000,9.087359,4.769934
10.000000,9.553079,1.700000,9.087359,4.769934
2.150000,3.424193,3.500000,15.762669,3.197486
3.500000,3.424193,2.150000,15.762669,3.197486
3.000000,4.097745,4.000000,11.653220,6.908631
4.000000,4.097745,3.000000,11.653220,6.908631
1.900000,9.519098,10.000000,9.167876,0.717944
10.000000,9.519098,1.900000,9.167876,0.717944
2.150000,3.839239,4.000000,11.991092,1.488222
4.000000,3.839239,2.150000,11.991092,1.488222
2.800000,4.823218,5.000000,9.987728,4.651398
5.000000,4.823218,2.800000,9.987728,4.651398
1.800000,3.343732,3.500000,16.119074,5.585449
3.500000,3.343732,1.800000,16.119074,5.585449
2.150000,7.540359,8.000000,9.284128,0.000000
8.000000,7.540359,2.150000,9.284128,0.000000
2.000000,2.830084,2.800000,28.408320,9.112100
