# R1,R2,R3,ETriat
1.800000,8.047158,9.819111,0.021846
1.800000,9.046963,10.819010,0.023145
1.800000,10.046810,11.818930,0.023438
2.400000,1.096027,1.304985,5.184050
2.400000,0.901196,1.503090,5.079953
2.400000,0.953972,3.296350,-2.918523
2.400000,1.149322,3.496029,-3.088997
2.400000,1.741716,4.095254,-3.310587
2.400000,2.736415,5.094367,-2.690178
2.400000,3.234991,5.594042,-2.118650
2.400000,3.733947,6.093771,-1.343882
2.400000,4.233150,6.593541,-0.725855
2.400000,4.732521,7.093343,-0.346915
2.400000,5.032203,7.393237,-0.212877
2.400000,5.531751,7.893078,-0.087730
2.400000,5.731592,8.093021,-0.059535
2.400000,6.231239,8.592888,-0.018994
2.400000,6.730939,9.092769,-0.001576
2.400000,7.730455,10.092570,0.008963
1.800000,1.058862,2.821740,-3.005296
1.800000,1.256721,3.021496,-3.140760
1.800000,1.504841,3.271233,-3.325411
1.800000,1.653984,3.421093,-3.412119
1.800000,1.803270,3.570966,-3.464855
1.800000,1.952666,3.720848,-3.480057
1.800000,2.151990,3.920706,-3.439188
1.800000,2.351430,4.120577,-3.330614
3.800000,1.624079,5.335694,1.381490
3.800000,0.771442,4.437458,-2.133029
3.800000,0.953422,4.637007,-2.369130
3.800000,1.141449,4.836593,-2.359356
3.800000,1.332965,5.036212,-2.342303
3.800000,1.624079,5.335694,-2.306912
3.800000,1.917934,5.635231,-2.260487
4.000000,1.087680,2.935445,2.178821
4.000000,0.994374,3.034867,1.185120
4.000000,0.774915,4.629003,-1.988663
4.000000,0.863843,4.728768,-2.170018
4.000000,1.047707,4.928327,-2.176628
4.000000,1.236590,5.127920,-2.151311
4.000000,1.428502,5.327543,-2.127370
4.000000,1.622369,5.527194,-2.103093
4.500000,1.258918,3.265103,0.304660
4.500000,1.026705,3.513682,-0.177451
4.500000,0.936387,3.613168,-0.345516
4.500000,1.005757,5.357279,-1.707782
4.500000,1.097381,5.457056,-1.684179
4.500000,1.237252,5.606737,-1.650423
4.500000,1.379254,5.756434,-1.617780
5.000000,0.799337,5.586751,-1.356536
5.000000,0.882386,5.686498,-1.447322
5.000000,0.925169,5.736375,-1.447536
5.000000,0.968644,5.786254,-1.437514
5.200000,2.114415,3.091472,0.411797
5.200000,1.920327,3.289757,0.125738
5.200000,1.727588,3.488239,-0.159476
5.200000,1.584215,3.637208,-0.353237
5.200000,1.348468,3.885668,-0.633480
5.200000,1.118926,4.134313,-0.862999
5.200000,0.805574,5.778304,-1.309462
5.200000,0.845976,5.828175,-1.367057
5.200000,0.887356,5.878048,-1.385745
5.200000,0.972550,5.977801,-1.373356
5.200000,1.105002,6.127445,-1.333823
5.200000,1.241454,6.277106,-1.297719
5.200000,1.427624,6.476678,-1.253890
6.500000,2.813616,3.691013,-0.264039
6.500000,2.618695,3.889114,-0.427987
6.500000,2.424602,4.087399,-0.578421
6.500000,2.279702,4.236220,-0.675192
6.500000,2.039842,4.484428,-0.803779
6.500000,1.802738,4.732825,-0.895008
6.500000,1.569642,4.981382,-0.961711
6.500000,1.477952,5.080845,-0.999745
6.500000,1.342643,5.230077,-1.075043
6.500000,1.254294,5.329589,-1.105024
6.500000,0.967575,7.173011,-1.239964
6.500000,1.088369,7.322623,-1.203253
6.500000,1.172652,7.422374,-1.180022
6.500000,1.303250,7.572011,-1.143802
7.500000,3.253991,4.251246,-0.274676
7.500000,3.107685,4.399790,-0.363725
7.500000,2.961748,4.548430,-0.457565
7.500000,2.816239,4.697157,-0.550285
7.500000,2.574868,4.945205,-0.689381
7.500000,2.478798,5.044479,-0.737060
7.500000,2.335313,5.193441,-0.798111
7.500000,2.145387,5.392147,-0.856124
7.500000,2.051141,5.491535,-0.869564
7.500000,1.910871,5.640658,0.873794
7.500000,1.772195,5.789826,0.811906
7.500000,1.680825,5.889295,0.772937
7.500000,1.545775,6.038531,0.718799
7.500000,1.413742,6.187804,0.667263
7.500000,1.327842,6.287339,0.631808
7.500000,1.203083,6.436668,0.574658
7.500000,0.845652,7.881496,0.404421
7.500000,0.937749,8.031068,0.421191
2.000000,0.809196,2.702098,-2.063291
2.000000,0.999332,2.901369,-2.370710
2.000000,1.192700,3.100734,-2.591080
2.000000,1.387948,3.300175,-2.790604
2.000000,1.781609,3.699239,-3.034195
2.000000,2.177583,4.098486,-3.006987
2.000000,2.972765,4.897348,-2.187528
2.400000,0.645103,2.884103,-0.088601
4.000000,1.807465,5.603442,-2.098890
4.000000,1.998665,5.802738,-2.055417
4.000000,2.239828,6.051925,-1.978454
4.000000,2.482739,6.301175,-1.865854
4.000000,2.972092,6.799842,-1.498097
4.000000,3.464486,7.298690,-0.992268
4.000000,3.958787,7.797687,-0.570641
4.000000,4.950824,8.796021,-0.442351
4.000000,5.447935,9.295323,-0.480721
4.000000,5.945530,9.794696,-0.502151
4.000000,6.941757,10.793620,-0.517678
4.500000,1.588330,5.830742,-1.602058
4.500000,1.773836,6.029919,-1.563398
4.500000,2.009631,6.278963,-1.503178
4.500000,2.248498,6.528081,-1.423207
4.500000,2.732214,7.026504,-1.166810
4.500000,3.220907,7.525136,-0.775650
4.500000,3.712613,8.023938,-0.406439
4.500000,4.701276,9.021941,-0.170247
4.500000,5.197234,9.521099,-0.214223
4.500000,5.693900,10.020340,-0.248915
4.500000,6.688722,11.019030,-0.276809
5.000000,1.386960,6.058303,-1.334541
5.000000,1.563114,6.257360,-1.299575
5.000000,1.790366,6.506262,-1.248595
5.000000,2.022991,6.755246,-1.186671
5.000000,2.498331,7.253423,-1.003106
5.000000,2.981749,7.751835,-0.705822
5.000000,3.469869,8.250439,-0.375009
5.000000,4.454024,9.248099,-0.080056
5.000000,4.948484,9.747109,-0.057324
5.000000,5.443956,10.246210,-0.077537
5.000000,6.437002,11.244670,-0.117353
3.200000,0.947064,3.944988,6.604081
3.200000,1.407976,4.442900,-2.694025
3.200000,1.791862,4.841540,-2.705125
3.200000,2.181546,5.240386,-2.615506
3.200000,2.574396,5.639397,-2.405257
3.200000,3.167030,6.238149,-1.806384
3.200000,3.761999,6.837121,-1.050298
3.200000,4.358348,7.436258,-0.502538
3.200000,4.855993,7.935639,-0.285362
3.200000,5.354076,8.435093,-0.312062
3.200000,5.852486,8.934608,-0.329788
3.200000,6.351147,9.434175,-0.339194
3.200000,7.349013,10.433430,-0.345524
3.800000,2.578351,6.210492,-2.020337
